Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
26211641282,"Bộ 4 Cuốn Sách Word - Excel - Powerpoint - 39 Thủ Thuật Phím Tắt, Tặng Video Hướng Dẫn, File Thực Hành, Khoá Học","499,0k",4k+,ANT  BOOK,"24,5%",₫119.760,https://shopee.vn/product/835517576/26211641282,https://s.shopee.vn/3LKnonlEHk
24819819148,Nước Hoa Xịt Thơm Phòng Cao Cấp Mùi Hương Khách Sạn 200ml | CLOU asia,"48,7k",30k+,CLOU Offcial Store,"19,5%",₫9.256,https://shopee.vn/product/906987827/24819819148,https://s.shopee.vn/3VeE16kawn
23031842569,"[CHÍNH HÃNG ZLIFE] Đệm ghế massage toàn thân, nệm massage xoa bóp, máy mát xa cao cấp","944,6k",9k+,Clever Home Daily,"17,5%",₫160.574,https://shopee.vn/product/133152990/23031842569,https://s.shopee.vn/3fxeDPjxbq
43857709282,Dép bánh mì nữ hình nơ cute đế độn 4cm chống trơn chất liệu PVC không thấm nước [Lù store] - 6829 NƠ,"55,0k",9k+,Lù Store - Shoes and Clothes,17%,₫9.350,https://shopee.vn/product/404405029/43857709282,https://s.shopee.vn/3qH4PijKGt
24303430634,"Máy chiếu mini K660 Chất lượng Siêu Nét, Tinh Tế, Kết nối wifi, Bluetooth, Điện thoại, Máy tính.","2,7tr",80k+,Máy chiếu mini KAW ,"15,5%",₫401.550,https://shopee.vn/product/919735353/24303430634,https://s.shopee.vn/6fbFmvYXWS
29764711040,"HÀNH PHI GẤP ĐÔI (CAY VÀ KHÔNG CAY) -  COMBO 2 Hũ Bánh Tráng TRỘN 600Gr, Ăn Vặt AVAGI - Snack Thức Ăn","45,0k",40k+,anvatavagi,"15,5%",₫6.750,https://shopee.vn/product/215043735/29764711040,https://s.shopee.vn/6pufzEXuBV
27623623360,"Gương Sóng Bọc Nỉ Soi Toàn Thân, Nỉ Lông Nhung Nhập Khẩu Cao Cấp kt 80x180cm Chân Vuông","575,0k",1k+,NA_Decorin,"15,5%",₫86.250,https://shopee.vn/product/952999816/27623623360,https://s.shopee.vn/70E6BXXGqY
27113749699,Áo babydoll linen kiểu xinh tay phồng tiểu thư công chúa bo thân nơ coquette ngực xinh xắn Kenco.clothing Sài Gòn M329,"51,2k",100k+,Kenco.clothing_saigon,"14,5%",₫7.168,https://shopee.vn/product/186979045/27113749699,https://s.shopee.vn/7AXWNqWdVb
25451207194,"Máy chiếu mini K670, Siêu nét 4K, Chính Hãng, Kết nối wifi, bluetooth, điện thoại, máy tính - Bh12T.","3,0tr",80k+,Máy chiếu mini KAW ,"15,5%",₫444.750,https://shopee.vn/product/919735353/25451207194,https://s.shopee.vn/7Kqwa9W0Ae
28130752017,GOOJODOQ 2025 Quạt tốc độ cao để bàn 2 trong 1 mới Quạt gió 100 tốc độ Màn hình kỹ thuật số LED quạt turbo có thể điều chỉnh Đèn chiếu sáng RGB,"369,0k",10k+,Goojodoq Offical Shop.VN,"13,5%",₫47.970,https://shopee.vn/product/1053077389/28130752017,https://s.shopee.vn/7VAMmSVMph
